VariableName,Code,CodeCategory,CodeType,Description,CareSetting,MinimumGap,MaximumGap
Metastasis,196.5,DX,9,"Secondary and unspecified malignant neoplasm of lymph nodes of inguinal region and lower limb",NA,,
Metastasis,196.6,DX,9,"Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes",NA,,
Metastasis,196.8,DX,9,"Secondary and unspecified malignant neoplasm of lymph nodes of multiple sites",NA,,
Metastasis,196.9,DX,9,"Secondary and unspecified malignant neoplasm of lymph nodes, site unspecified",NA,,
Metastasis,197.0,DX,9,"Secondary malignant neoplasm of lung",NA,,
Metastasis,197.1,DX,9,"Secondary malignant neoplasm of mediastinum",NA,,
Metastasis,197.2,DX,9,"Secondary malignant neoplasm of pleura",NA,,
Metastasis,197.3,DX,9,"Secondary malignant neoplasm of other respiratory organs",NA,,
Metastasis,197.4,DX,9,"Secondary malignant neoplasm of small intestine including duodenum",NA,,
Metastasis,197.5,DX,9,"Secondary malignant neoplasm of large intestine and rectum",NA,,
Metastasis,197.6,DX,9,"Secondary malignant neoplasm of retroperitoneum and peritoneum",NA,,
Metastasis,197.7,DX,9,"Malignant neoplasm of liver, secondary",NA,,
Metastasis,197.8,DX,9,"Secondary malignant neoplasm of other digestive organs and spleen",NA,,
Metastasis,198.0,DX,9,"Secondary malignant neoplasm of kidney",NA,,
Metastasis,198.1,DX,9,"Secondary malignant neoplasm of other urinary organs",NA,,
Metastasis,198.2,DX,9,"Secondary malignant neoplasm of skin",NA,,
Metastasis,198.3,DX,9,"Secondary malignant neoplasm of brain and spinal cord",NA,,
Metastasis,198.4,DX,9,"Secondary malignant neoplasm of other parts of nervous system",NA,,
Metastasis,198.5,DX,9,"Secondary malignant neoplasm of bone and bone marrow",NA,,
Metastasis,198.6,DX,9,"Secondary malignant neoplasm of ovary",NA,,
Metastasis,198.7,DX,9,"Secondary malignant neoplasm of adrenal gland",NA,,
Metastasis,198.8,DX,9,"Secondary malignant neoplasm of other specified sites",NA,,
Metastasis,198.81,DX,9,"Secondary malignant neoplasm of breast",NA,,
Metastasis,198.82,DX,9,"Secondary malignant neoplasm of genital organs",NA,,
Metastasis,198.89,DX,9,"Secondary malignant neoplasm of other specified sites",NA,,
Metastasis,199.0,DX,9,Disseminated malignant neoplasm without specification of site,NA,,
Primary malignancy,199.1,DX,9,Other malignant neoplasm without specification of site,NA,,
Primary malignancy,199.2,DX,9,Malignant neoplasm associated with transplant organ,NA,,
Primary malignancy,200.00,DX,9,"Reticulosarcoma, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,200.01,DX,9,"Reticulosarcoma, lymph nodes of head, face, and neck",NA,,
Primary malignancy,200.02,DX,9,"Reticulosarcoma, intrathoracic lymph nodes",NA,,
Primary malignancy,200.03,DX,9,"Reticulosarcoma, intra-abdominal lymph nodes",NA,,
Primary malignancy,200.04,DX,9,"Reticulosarcoma, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,200.05,DX,9,"Reticulosarcoma, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,200.06,DX,9,"Reticulosarcoma, intrapelvic lymph nodes",NA,,
Primary malignancy,200.07,DX,9,"Reticulosarcoma, spleen",NA,,
Primary malignancy,200.08,DX,9,"Reticulosarcoma, lymph nodes of multiple sites",NA,,
Primary malignancy,200.10,DX,9,"Lymphosarcoma, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,200.11,DX,9,"Lymphosarcoma, lymph nodes of head, face, and neck",NA,,
Primary malignancy,200.12,DX,9,"Lymphosarcoma, intrathoracic lymph nodes",NA,,
Primary malignancy,200.13,DX,9,"Lymphosarcoma, intra-abdominal lymph nodes",NA,,
Primary malignancy,200.14,DX,9,"Lymphosarcoma, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,200.15,DX,9,"Lymphosarcoma, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,200.16,DX,9,"Lymphosarcoma, intrapelvic lymph nodes",NA,,
Primary malignancy,200.17,DX,9,"Lymphosarcoma, spleen",NA,,
Primary malignancy,200.18,DX,9,"Lymphosarcoma, lymph nodes of multiple sites",NA,,
Primary malignancy,200.20,DX,9,"Burkitt's tumor or lymphoma, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,200.21,DX,9,"Burkitt's tumor or lymphoma, lymph nodes of head, face, and neck",NA,,
Primary malignancy,200.22,DX,9,"Burkitt's tumor or lymphoma, intrathoracic lymph nodes",NA,,
Primary malignancy,200.23,DX,9,"Burkitt's tumor or lymphoma, intra-abdominal lymph nodes",NA,,
Primary malignancy,200.24,DX,9,"Burkitt's tumor or lymphoma, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,200.25,DX,9,"Burkitt's tumor or lymphoma, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,200.26,DX,9,"Burkitt's tumor or lymphoma, intrapelvic lymph nodes",NA,,
Primary malignancy,200.27,DX,9,"Burkitt's tumor or lymphoma, spleen",NA,,
Primary malignancy,200.28,DX,9,"Burkitt's tumor or lymphoma, lymph nodes of multiple sites",NA,,
Primary malignancy,200.30,DX,9,"Marginal zone lymphoma, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,200.31,DX,9,"Marginal zone lymphoma, lymph nodes of head, face, and neck",NA,,
Primary malignancy,200.32,DX,9,"Marginal zone lymphoma, intrathoracic lymph nodes",NA,,
Primary malignancy,200.33,DX,9,"Marginal zone lymphoma, intraabdominal lymph nodes",NA,,
Primary malignancy,200.34,DX,9,"Marginal zone lymphoma, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,200.35,DX,9,"Marginal zone lymphoma, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,200.36,DX,9,"Marginal zone lymphoma, intrapelvic lymph nodes",NA,,
Primary malignancy,200.37,DX,9,"Marginal zone lymphoma, spleen",NA,,
Primary malignancy,200.38,DX,9,"Marginal zone lymphoma, lymph nodes of multiple sites",NA,,
Primary malignancy,200.40,DX,9,"Mantle cell lymphoma, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,200.41,DX,9,"Mantle cell lymphoma, lymph nodes of head, face, and neck",NA,,
Primary malignancy,200.42,DX,9,"Mantle cell lymphoma, intrathoracic lymph nodes",NA,,
Primary malignancy,200.43,DX,9,"Mantle cell lymphoma, intra-abdominal lymph nodes",NA,,
Primary malignancy,200.44,DX,9,"Mantle cell lymphoma, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,200.45,DX,9,"Mantle cell lymphoma, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,200.46,DX,9,"Mantle cell lymphoma, intrapelvic lymph nodes",NA,,
Primary malignancy,200.47,DX,9,"Mantle cell lymphoma, spleen",NA,,
Primary malignancy,200.48,DX,9,"Mantle cell lymphoma, lymph nodes of multiple sites",NA,,
Primary malignancy,200.50,DX,9,"Primary central nervous system lymphoma, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,200.51,DX,9,"Primary central nervous system lymphoma, lymph nodes of head, face, and neck",NA,,
Primary malignancy,200.52,DX,9,"Primary central nervous system lymphoma, intrathoracic lymph nodes",NA,,
Primary malignancy,200.53,DX,9,"Primary central nervous system lymphoma, intra-abdominal lymph nodes",NA,,
Primary malignancy,200.54,DX,9,"Primary central nervous system lymphoma, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,200.55,DX,9,"Primary central nervous system lymphoma, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,200.56,DX,9,"Primary central nervous system lymphoma, intrapelvic lymph nodes",NA,,
Primary malignancy,200.57,DX,9,"Primary central nervous system lymphoma, spleen",NA,,
Primary malignancy,200.58,DX,9,"Primary central nervous system lymphoma, lymph nodes of multiple sites",NA,,
Primary malignancy,200.60,DX,9,"Anaplastic large cell lymphoma, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,200.61,DX,9,"Anaplastic large cell lymphoma, lymph nodes of head, face, and neck",NA,,
Primary malignancy,200.62,DX,9,"Anaplastic large cell lymphoma, intrathoracic lymph nodes",NA,,
Primary malignancy,200.63,DX,9,"Anaplastic large cell lymphoma, intra-abdominal lymph nodes",NA,,
Primary malignancy,200.64,DX,9,"Anaplastic large cell lymphoma, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,200.65,DX,9,"Anaplastic large cell lymphoma, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,200.66,DX,9,"Anaplastic large cell lymphoma, intrapelvic lymph nodes",NA,,
Primary malignancy,200.67,DX,9,"Anaplastic large cell lymphoma, spleen",NA,,
Primary malignancy,200.68,DX,9,"Anaplastic large cell lymphoma, lymph nodes of multiple sites",NA,,
Primary malignancy,200.70,DX,9,"Large cell lymphoma, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,200.71,DX,9,"Large cell lymphoma, lymph nodes of head, face, and neck",NA,,
Primary malignancy,200.72,DX,9,"Large cell lymphoma, intrathoracic lymph nodes",NA,,
Primary malignancy,200.73,DX,9,"Large cell lymphoma, intra-abdominal lymph nodes",NA,,
Primary malignancy,200.74,DX,9,"Large cell lymphoma, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,200.75,DX,9,"Large cell lymphoma, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,200.76,DX,9,"Large cell lymphoma, intrapelvic lymph nodes",NA,,
Primary malignancy,200.77,DX,9,"Large cell lymphoma, spleen",NA,,
Primary malignancy,200.78,DX,9,"Large cell lymphoma, lymph nodes of multiple sites",NA,,
Primary malignancy,200.80,DX,9,"Other named variants of lymphosarcoma and reticulosarcoma, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,200.81,DX,9,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of head, face, and neck",NA,,
Primary malignancy,200.82,DX,9,"Other named variants of lymphosarcoma and reticulosarcoma,intrathoracic lymph nodes",NA,,
Primary malignancy,200.83,DX,9,"Other named variants of lymphosarcoma and reticulosarcoma, intra-abdominal lymph nodes",NA,,
Primary malignancy,200.84,DX,9,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,200.85,DX,9,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,200.86,DX,9,"Other named variants of lymphosarcoma and reticulosarcoma, intrapelvic lymph nodes",NA,,
Primary malignancy,200.87,DX,9,"Other named variants of lymphosarcoma and reticulosarcoma, spleen",NA,,
Primary malignancy,200.88,DX,9,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of multiple sites",NA,,
Primary malignancy,201.00,DX,9,"Hodgkin's paragranuloma, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,201.01,DX,9,"Hodgkin's paragranuloma, lymph nodes of head, face, and neck",NA,,
Primary malignancy,201.02,DX,9,"Hodgkin's paragranuloma, intrathoracic lymph nodes",NA,,
Primary malignancy,201.03,DX,9,"Hodgkin's paragranuloma, intra-abdominal lymph nodes",NA,,
Primary malignancy,201.04,DX,9,"Hodgkin's paragranuloma, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,201.05,DX,9,"Hodgkin's paragranuloma, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,201.06,DX,9,"Hodgkin's paragranuloma, intrapelvic lymph nodes",NA,,
Primary malignancy,201.07,DX,9,"Hodgkin's paragranuloma, spleen",NA,,
Primary malignancy,201.08,DX,9,"Hodgkin's paragranuloma, lymph nodes of multiple sites",NA,,
Primary malignancy,201.10,DX,9,"Hodgkin's granuloma, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,201.11,DX,9,"Hodgkin's granuloma, lymph nodes of head, face, and neck",NA,,
Primary malignancy,201.12,DX,9,"Hodgkin's granuloma, intrathoracic lymph nodes",NA,,
Primary malignancy,201.13,DX,9,"Hodgkin's granuloma, intra-abdominal lymph nodes",NA,,
Primary malignancy,201.14,DX,9,"Hodgkin's granuloma, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,201.15,DX,9,"Hodgkin's granuloma, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,201.16,DX,9,"Hodgkin's granuloma, intrapelvic lymph nodes",NA,,
Primary malignancy,201.17,DX,9,"Hodgkin's granuloma, spleen",NA,,
Primary malignancy,201.18,DX,9,"Hodgkin's granuloma, lymph nodes of multiple sites",NA,,
Primary malignancy,201.20,DX,9,"Hodgkin's sarcoma, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,201.21,DX,9,"Hodgkin's sarcoma, lymph nodes of head, face, and neck",NA,,
Primary malignancy,201.22,DX,9,"Hodgkin's sarcoma, intrathoracic lymph nodes",NA,,
Primary malignancy,201.23,DX,9,"Hodgkin's sarcoma, intra-abdominal lymph nodes",NA,,
Primary malignancy,201.24,DX,9,"Hodgkin's sarcoma, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,201.25,DX,9,"Hodgkin's sarcoma, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,201.26,DX,9,"Hodgkin's sarcoma, intrapelvic lymph nodes",NA,,
Primary malignancy,201.27,DX,9,"Hodgkin's sarcoma, spleen",NA,,
Primary malignancy,201.28,DX,9,"Hodgkin's sarcoma, lymph nodes of multiple sites",NA,,
Primary malignancy,201.40,DX,9,"Hodgkin's disease, lymphocytic-histiocytic predominance, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,201.41,DX,9,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of head, face, and neck",NA,,
Primary malignancy,201.42,DX,9,"Hodgkin's disease, lymphocytic-histiocytic predominance, intrathoracic lymph nodes",NA,,
Primary malignancy,201.43,DX,9,"Hodgkin's disease, lymphocytic-histiocytic predominance, intra-abdominal lymph nodes",NA,,
Primary malignancy,201.44,DX,9,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,201.45,DX,9,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,201.46,DX,9,"Hodgkin's disease, lymphocytic-histiocytic predominance, intrapelvic lymph nodes",NA,,
Primary malignancy,201.47,DX,9,"Hodgkin's disease, lymphocytic-histiocytic predominance, spleen",NA,,
Primary malignancy,201.48,DX,9,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of multiple sites",NA,,
Primary malignancy,201.50,DX,9,"Hodgkin's disease, nodular sclerosis, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,201.51,DX,9,"Hodgkin's disease, nodular sclerosis, lymph nodes of head, face, and neck",NA,,
Primary malignancy,201.52,DX,9,"Hodgkin's disease, nodular sclerosis, intrathoracic lymph nodes",NA,,
Primary malignancy,201.53,DX,9,"Hodgkin's disease, nodular sclerosis, intra-abdominal lymph nodes",NA,,
Primary malignancy,201.54,DX,9,"Hodgkin's disease, nodular sclerosis, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,201.55,DX,9,"Hodgkin's disease, nodular sclerosis, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,201.56,DX,9,"Hodgkin's disease, nodular sclerosis, intrapelvic lymph nodes",NA,,
Primary malignancy,201.57,DX,9,"Hodgkin's disease, nodular sclerosis, spleen",NA,,
Primary malignancy,201.58,DX,9,"Hodgkin's disease, nodular sclerosis, lymph nodes of multiple sites",NA,,
Primary malignancy,201.60,DX,9,"Hodgkin's disease, mixed cellularity, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,201.61,DX,9,"Hodgkin's disease, mixed cellularity, lymph nodes of head, face, and neck",NA,,
Primary malignancy,201.62,DX,9,"Hodgkin's disease, mixed cellularity, intrathoracic lymph nodes",NA,,
Primary malignancy,201.63,DX,9,"Hodgkin's disease, mixed cellularity, intra-abdominal lymph nodes",NA,,
Primary malignancy,201.64,DX,9,"Hodgkin's disease, mixed cellularity, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,201.65,DX,9,"Hodgkin's disease, mixed cellularity, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,201.66,DX,9,"Hodgkin's disease, mixed cellularity, intrapelvic lymph nodes",NA,,
Primary malignancy,201.67,DX,9,"Hodgkin's disease, mixed cellularity, spleen",NA,,
Primary malignancy,201.68,DX,9,"Hodgkin's disease, mixed cellularity, lymph nodes of multiple sites",NA,,
Primary malignancy,201.70,DX,9,"Hodgkin's disease, lymphocytic depletion, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,201.71,DX,9,"Hodgkin's disease, lymphocytic depletion, lymph nodes of head, face, and neck",NA,,
Primary malignancy,201.72,DX,9,"Hodgkin's disease, lymphocytic depletion, intrathoracic lymph nodes",NA,,
Primary malignancy,201.73,DX,9,"Hodgkin's disease, lymphocytic depletion, intra-abdominal lymph nodes",NA,,
Primary malignancy,201.74,DX,9,"Hodgkin's disease, lymphocytic depletion, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,201.75,DX,9,"Hodgkin's disease, lymphocytic depletion, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,201.76,DX,9,"Hodgkin's disease, lymphocytic depletion, intrapelvic lymph nodes",NA,,
Primary malignancy,201.77,DX,9,"Hodgkin's disease, lymphocytic depletion, spleen",NA,,
Primary malignancy,201.78,DX,9,"Hodgkin's disease, lymphocytic depletion, lymph nodes of multiple sites",NA,,
Primary malignancy,201.90,DX,9,"Hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,201.91,DX,9,"Hodgkin's disease, unspecified type, lymph nodes of head, face, and neck",NA,,
Primary malignancy,201.92,DX,9,"Hodgkin's disease, unspecified type, intrathoracic lymph nodes",NA,,
Primary malignancy,201.93,DX,9,"Hodgkin's disease, unspecified type, intra-abdominal lymph nodes",NA,,
Primary malignancy,201.94,DX,9,"Hodgkin's disease, unspecified type, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,201.95,DX,9,"Hodgkin's disease, unspecified type, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,201.96,DX,9,"Hodgkin's disease, unspecified type, intrapelvic lymph nodes",NA,,
Primary malignancy,201.97,DX,9,"Hodgkin's disease, unspecified type, spleen",NA,,
Primary malignancy,201.98,DX,9,"Hodgkin's disease, unspecified type, lymph nodes of multiple sites",NA,,
Primary malignancy,202.00,DX,9,"Nodular lymphoma, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,202.01,DX,9,"Nodular lymphoma, lymph nodes of head, face, and neck",NA,,
Primary malignancy,202.02,DX,9,"Nodular lymphoma, intrathoracic lymph nodes",NA,,
Primary malignancy,202.03,DX,9,"Nodular lymphoma, intra-abdominal lymph nodes",NA,,
Primary malignancy,202.04,DX,9,"Nodular lymphoma, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,202.05,DX,9,"Nodular lymphoma, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,202.06,DX,9,"Nodular lymphoma, intrapelvic lymph nodes",NA,,
Primary malignancy,202.07,DX,9,"Nodular lymphoma, spleen",NA,,
Primary malignancy,202.08,DX,9,"Nodular lymphoma, lymph nodes of multiple sites",NA,,
Primary malignancy,202.10,DX,9,"Mycosis fungoides, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,202.11,DX,9,"Mycosis fungoides, lymph nodes of head, face, and neck",NA,,
Primary malignancy,202.12,DX,9,"Mycosis fungoides, intrathoracic lymph nodes",NA,,
Primary malignancy,202.13,DX,9,"Mycosis fungoides, intra-abdominal lymph nodes",NA,,
Primary malignancy,202.14,DX,9,"Mycosis fungoides, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,202.15,DX,9,"Mycosis fungoides, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,202.16,DX,9,"Mycosis fungoides, intrapelvic lymph nodes",NA,,
Primary malignancy,202.17,DX,9,"Mycosis fungoides, spleen",NA,,
Primary malignancy,202.18,DX,9,"Mycosis fungoides, lymph nodes of multiple sites",NA,,
Primary malignancy,202.20,DX,9,"Sezary's disease, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,202.21,DX,9,"Sezary's disease, lymph nodes of head, face, and neck",NA,,
Primary malignancy,202.22,DX,9,"Sezary's disease, intrathoracic lymph nodes",NA,,
Primary malignancy,202.23,DX,9,"Sezary's disease, intra-abdominal lymph nodes",NA,,
Primary malignancy,202.24,DX,9,"Sezary's disease, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,202.25,DX,9,"Sezary's disease, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,202.26,DX,9,"Sezary's disease, intrapelvic lymph nodes",NA,,
Primary malignancy,202.27,DX,9,"Sezary's disease, spleen",NA,,
Primary malignancy,202.28,DX,9,"Sezary's disease, lymph nodes of multiple sites",NA,,
Primary malignancy,202.30,DX,9,"Malignant histiocytosis, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,202.31,DX,9,"Malignant histiocytosis, lymph nodes of head, face, and neck",NA,,
Primary malignancy,202.32,DX,9,"Malignant histiocytosis, intrathoracic lymph nodes",NA,,
Primary malignancy,202.33,DX,9,"Malignant histiocytosis, intra-abdominal lymph nodes",NA,,
Primary malignancy,202.34,DX,9,"Malignant histiocytosis, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,202.35,DX,9,"Malignant histiocytosis, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,202.36,DX,9,"Malignant histiocytosis, intrapelvic lymph nodes",NA,,
Primary malignancy,202.37,DX,9,"Malignant histiocytosis, spleen",NA,,
Primary malignancy,202.38,DX,9,"Malignant histiocytosis, lymph nodes of multiple sites",NA,,
Primary malignancy,202.40,DX,9,"Leukemic reticuloendotheliosis, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,202.41,DX,9,"Leukemic reticuloendotheliosis, lymph nodes of head, face, and neck",NA,,
Primary malignancy,202.42,DX,9,"Leukemic reticuloendotheliosis, intrathoracic lymph nodes",NA,,
Primary malignancy,202.43,DX,9,"Leukemic reticuloendotheliosis, intra-abdominal lymph nodes",NA,,
Primary malignancy,202.44,DX,9,"Leukemic reticuloendotheliosis, lymph nodes of axilla and upper arm",NA,,
Primary malignancy,202.45,DX,9,"Leukemic reticuloendotheliosis, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,202.46,DX,9,"Leukemic reticuloendotheliosis, intrapelvic lymph nodes",NA,,
Primary malignancy,202.47,DX,9,"Leukemic reticuloendotheliosis, spleen",NA,,
Primary malignancy,202.48,DX,9,"Leukemic reticuloendotheliosis, lymph nodes of multiple sites",NA,,
Primary malignancy,202.50,DX,9,"Letterer-siwe disease, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,202.51,DX,9,"Letterer-siwe disease, lymph nodes of head, face, and neck",NA,,
Primary malignancy,202.52,DX,9,"Letterer-siwe disease, intrathoracic lymph nodes",NA,,
Primary malignancy,202.53,DX,9,"Letterer-siwe disease, intra-abdominal lymph nodes",NA,,
Primary malignancy,202.54,DX,9,"Letterer-siwe disease, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,202.55,DX,9,"Letterer-siwe disease, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,202.56,DX,9,"Letterer-siwe disease, intrapelvic lymph nodes",NA,,
Primary malignancy,202.57,DX,9,"Letterer-siwe disease, spleen",NA,,
Primary malignancy,202.58,DX,9,"Letterer-siwe disease, lymph nodes of multiple sites",NA,,
Primary malignancy,202.60,DX,9,"Malignant mast cell tumors, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,202.61,DX,9,"Malignant mast cell tumors, lymph nodes of head, face, and neck",NA,,
Primary malignancy,202.62,DX,9,"Malignant mast cell tumors, intrathoracic lymph nodes",NA,,
Primary malignancy,202.63,DX,9,"Malignant mast cell tumors, intra-abdominal lymph nodes",NA,,
Primary malignancy,202.64,DX,9,"Malignant mast cell tumors, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,202.65,DX,9,"Malignant mast cell tumors, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,202.66,DX,9,"Malignant mast cell tumors, intrapelvic lymph nodes",NA,,
Primary malignancy,202.67,DX,9,"Malignant mast cell tumors, spleen",NA,,
Primary malignancy,202.68,DX,9,"Malignant mast cell tumors, lymph nodes of multiple sites",NA,,
Primary malignancy,202.70,DX,9,"Peripheral T cell lymphoma, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,202.71,DX,9,"Peripheral T cell lymphoma, lymph nodes of head, face, and neck",NA,,
Primary malignancy,202.72,DX,9,"Peripheral T cell lymphoma, intrathoracic lymph nodes",NA,,
Primary malignancy,202.73,DX,9,"Peripheral T cell lymphoma, intra-abdominal lymph nodes",NA,,
Primary malignancy,202.74,DX,9,"Peripheral T cell lymphoma, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,202.75,DX,9,"Peripheral T cell lymphoma, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,202.76,DX,9,"Peripheral T cell lymphoma, intrapelvic lymph nodes",NA,,
Primary malignancy,202.77,DX,9,"Peripheral T cell lymphoma, spleen",NA,,
Primary malignancy,202.78,DX,9,"Peripheral T cell lymphoma, lymph nodes of multiple sites",NA,,
Primary malignancy,202.80,DX,9,"Other malignant lymphomas, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,202.81,DX,9,"Other malignant lymphomas, lymph nodes of head, face, and neck",NA,,
Primary malignancy,202.82,DX,9,"Other malignant lymphomas, intrathoracic lymph nodes",NA,,
Primary malignancy,202.83,DX,9,"Other malignant lymphomas, intra-abdominal lymph nodes",NA,,
Primary malignancy,202.84,DX,9,"Other malignant lymphomas, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,202.85,DX,9,"Other malignant lymphomas, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,202.86,DX,9,"Other malignant lymphomas, intrapelvic lymph nodes",NA,,
Primary malignancy,202.87,DX,9,"Other malignant lymphomas, spleen",NA,,
Primary malignancy,202.88,DX,9,"Other malignant lymphomas, lymph nodes of multiple sites",NA,,
Primary malignancy,202.90,DX,9,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, unspecified site, extranodal and solid organ sites",NA,,
Primary malignancy,202.91,DX,9,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, lymph nodes of head, face, and neck",NA,,
Primary malignancy,202.92,DX,9,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, intrathoracic lymph nodes",NA,,
Primary malignancy,202.93,DX,9,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, intra-abdominal lymph nodes",NA,,
Primary malignancy,202.94,DX,9,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, lymph nodes of axilla and upper limb",NA,,
Primary malignancy,202.95,DX,9,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, lymph nodes of inguinal region and lower limb",NA,,
Primary malignancy,202.96,DX,9,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, intrapelvic lymph nodes",NA,,
Primary malignancy,202.97,DX,9,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, spleen",NA,,
Primary malignancy,202.98,DX,9,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, lymph nodes of multiple sites",NA,,
Primary malignancy,203.00,DX,9,"Multiple myeloma, without mention of having achieved remission",NA,,
Primary malignancy,203.01,DX,9,"Multiple myeloma, in remission",NA,,
Primary malignancy,203.02,DX,9,"Multiple myeloma, in relapse",NA,,
Primary malignancy,203.10,DX,9,"Plasma cell leukemia, without mention of having achieved remission",NA,,
Primary malignancy,203.11,DX,9,"Plasma cell leukemia, in remission",NA,,
Primary malignancy,203.12,DX,9,"Plasma cell leukemia, in relapse",NA,,
